Date/Time,Word Count,en,zh
2021.11.25-17.25.16,369,0,369
2021.11.25-17.27.49,369,369,369
2021.11.25-17.29.39,364,100,364
2021.11.25-20.18.01,366,191,366
2021.11.25-21.03.26,393,227,393
2021.11.25-21.23.12,393,255,393
2021.11.25-21.34.07,397,261,397
2021.11.25-23.31.35,397,265,397
2021.11.26-00.18.15,613,167,613
2021.12.08-15.42.26,692,481,692
2021.12.08-20.01.15,695,485,695
2022.01.11-18.36.46,712,560,712
2022.01.12-00.18.52,720,567,720
2022.01.12-01.36.38,848,567,848
2022.01.14-13.19.38,905,694,905
2022.01.16-10.43.44,898,659,898
2022.01.16-11.33.00,898,688,898
2022.01.16-23.48.13,898,700,898
2022.01.17-15.46.12,1569,700,1569
